eaelectricity,eapipedwater,easewage,eacellphone,eapostoffice,easchool,eapolicestation,eahealthclinic,eamarketstalls,eabank,earoad,eateacherservices,eamedicalservices,eahouseholdservices,eapoliceservices,eadocumentservices,eacourtservices,eametalroof,eagrassroof,eatileroof,eaformalhouse,eatraditionalhouse,eaflat,eanofood,eanowater,eanomedicine,eanofuel,eanocash,eaage,eaeducationlevel,ealivingconditions,earelativelivingconditions,eaownradio,eaowntelevision,id
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.46666668,0.6000000000000001,0.55,0.48,0.575,0.6000000000000001,0.125,0.0,0.875,0.0,0.25,0.0,0.0,0.1875,0.12903225806451613,0.0,0.09375,0.28159240111495215,0.625,0.59375,0.5,0.5,0.75,1
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.675,0.8,0.9000000000000001,0.7,0.7,0.6000000000000001,1.0,0.0,0.0,0.25,0.625,0.0,0.5,0.5,0.5483870967741935,0.7407407407407407,0.71875,0.2764791797705746,0.49999999999999994,0.1875,0.3125,0.875,0.625,2
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.6000000000000001,0.6000000000000001,0.5,0.52,0.6000000000000001,0.75,0.0,0.25,1.0,0.0,0.0,0.17857142857142855,0.40625,0.0,0.07407407407407407,0.21875,0.36084733195280444,0.6666666666666667,0.375,0.59375,0.625,0.375,3
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66666666,0.6333333400000001,0.0,0.6000000000000001,0.75,0.0,0.375,0.625,0.0,0.25,0.75,0.0,0.21428571428571427,0.15625,0.29032258064516125,0.14814814814814814,0.4375,0.5525931323669631,0.16666666666666669,0.4375,0.40625,0.125,0.125,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.83333334,0.76666666,1.0,0.0,0.7199999800000001,1.0,0.625,0.0,0.0,0.75,0.125,0.0,0.3214285714285714,0.28125,0.22580645161290322,0.2962962962962963,0.625,0.3046018971646512,0.6666666666666667,0.34375,0.5,0.875,1.0,5
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.7,0.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10714285714285714,0.25,0.0967741935483871,0.16931217777777777,0.4375,0.10774287540611499,0.5416666666666667,0.625,0.59375,0.5,0.375,6
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.76,0.8,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.09375,0.16129032258064516,0.4444444444444444,0.0625,0.5960555137941723,0.5833333333333333,0.59375,0.59375,0.625,1.0,7
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.7199999800000001,0.6000000000000001,0.0,0.7,0.0,1.0,0.0,0.0,0.25,0.75,0.0,0.42857142857142855,0.9375,0.5483870967741935,0.6296296296296295,0.6875,0.5014609189231873,0.49999999999999994,0.40625,0.40625,0.125,0.625,8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,1.0,0.0,0.0,0.375,0.5,0.0,0.3214285714285714,0.15625,0.0967741935483871,0.18518518518518517,0.40625,0.5219138043006977,0.5416666666666667,0.3125,0.34375,0.875,0.75,9
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.6400000000000001,0.8,0.8,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.3571428571428571,0.09375,0.16129032258064516,0.5925925925925926,0.59375,0.21767713431023267,0.4583333333333333,0.34375,0.46875,0.625,0.75,10
